resume_text,job_description,match_score,match_label
"Detail-oriented Results-driven Frontend Developer with 4 years building and maintaining robust systems. Deep expertise in React, JavaScript, TypeScript, HTML5, and CSS3. Implemented Redux solutions that reduced deployment time and increased reliability. Comfortable working with Webpack and Jest in production-grade environments. Known for strong problem-solving skills and clear communication with stakeholders. Experienced in agile methodologies, code reviews, and documentation. Familiar with responsive design and REST integration, contributing to architecture decisions and technical roadmaps. Bachelor's degree in Information Technology. Track record of mentoring team members and driving process improvements. Enjoys tackling challenging technical problems and delivering measurable business impact through technology.","Our company is hiring a Cloud Solutions Architect to help scale our infrastructure and products. Candidates should have at least 8 years of relevant experience with AWS, Azure, and GCP. Day-to-day duties include building Terraform pipelines, optimizing networking performance, and ensuring system reliability. Must have strong knowledge of security architecture and microservices, plus familiarity with Kubernetes. Bonus points for experience with cost optimization and IAM. We value engineers who can work independently, communicate clearly, and thrive in agile team settings. This role offers hybrid work options, mentorship opportunities, and exposure to cutting-edge technologies in a supportive, growth-oriented culture.","0.29","low"
"Detail-oriented Data Engineer bringing 6+ years of hands-on experience across the full development lifecycle. Core competencies include Python, SQL, and Apache Spark, complemented by working knowledge of Airflow and ETL pipelines. Delivered multiple projects leveraging Snowflake and AWS Redshift to streamline operations and boost efficiency. Comfortable in fast-paced, agile teams, participating in sprint planning and code reviews. Experience integrating Kafka with existing systems while maintaining high code quality. Additional exposure to data warehousing and BigQuery. Strong communicator who partners closely with product managers and designers. Master's degree in Computer Science. Committed to writing testable, well-documented code and staying current with emerging technologies.","Our company is hiring a Full Stack Developer to help scale our infrastructure and products. Candidates should have at least 4 years of relevant experience with Node.js, React, and MongoDB. Day-to-day duties include building Express pipelines, optimizing JavaScript performance, and ensuring system reliability. Must have strong knowledge of Snowflake and AWS Redshift, plus familiarity with Kafka. Bonus points for experience with data warehousing and BigQuery. We value engineers who can work independently, communicate clearly, and thrive in agile team settings. This role offers hybrid work options, mentorship opportunities, and exposure to cutting-edge technologies in a supportive, growth-oriented culture.","0.63","medium"
"Detail-oriented DevOps Engineer with 5+ years of experience delivering scalable solutions. Proficient in Terraform, Kubernetes, and Docker, with hands-on expertise in Jenkins and AWS. Successfully led projects involving CI/CD and Ansible, improving system performance and reliability. Strong background in monitoring, collaborating with cross-functional teams to deliver high-quality software on schedule. Skilled at writing clean, maintainable code and mentoring junior engineers. Experience with Linux administration and GitOps in production environments. Passionate about continuous learning, automation, and best practices in software engineering. Adept at troubleshooting complex issues and optimizing workflows. Holds a Bachelor's degree in Computer Science and has contributed to multiple successful product launches across fast-paced, agile environments.","We are seeking a Cybersecurity Analyst to join our growing engineering team. The ideal candidate has 5+ years of experience with SIEM, penetration testing, and network security. Responsibilities include designing and implementing incident response solutions, collaborating with vulnerability assessment specialists, and maintaining high standards of code quality. Required skills: firewalls, Python scripting, and compliance. Experience with risk management is a strong plus. You will work closely with cross-functional teams to deliver reliable, scalable systems in an agile environment. Strong problem-solving abilities and excellent communication skills are essential. Bachelor's degree in Computer Science or related field preferred. We offer competitive compensation, remote flexibility, and opportunities for professional growth in a collaborative, fast-paced environment.","0.27","low"
"Detail-oriented Results-driven Full Stack Developer with 4 years building and maintaining robust systems. Deep expertise in Node.js, React, MongoDB, Express, and JavaScript. Implemented TypeScript solutions that reduced deployment time and increased reliability. Comfortable working with REST APIs and GraphQL in production-grade environments. Known for strong problem-solving skills and clear communication with stakeholders. Experienced in agile methodologies, code reviews, and documentation. Familiar with AWS and Git, contributing to architecture decisions and technical roadmaps. Bachelor's degree in Information Technology. Track record of mentoring team members and driving process improvements. Enjoys tackling challenging technical problems and delivering measurable business impact through technology.","Opportunity overview: About the role: Join our team as a Full Stack Developer responsible for architecting and maintaining critical systems. Required qualifications include 4+ years of experience in Node.js, React, and MongoDB. You will design Express solutions, troubleshoot production issues, and collaborate with JavaScript teams. Proficiency in TypeScript, REST APIs, and GraphQL is required. Experience with AWS and Git is highly desirable. The successful candidate is detail-oriented, communicates effectively, and enjoys solving complex technical challenges. We offer a collaborative environment, continuous learning opportunities, and a strong focus on work-life balance. Bachelor's or Master's degree in a related technical field is preferred for this position.","0.97","high"
"Detail-oriented Machine Learning Engineer bringing 5+ years of hands-on experience across the full development lifecycle. Core competencies include Python, TensorFlow, and PyTorch, complemented by working knowledge of scikit-learn and NLP. Delivered multiple projects leveraging model deployment and MLOps to streamline operations and boost efficiency. Comfortable in fast-paced, agile teams, participating in sprint planning and code reviews. Experience integrating SQL with existing systems while maintaining high code quality. Additional exposure to data preprocessing and AWS SageMaker. Strong communicator who partners closely with product managers and designers. Master's degree in Computer Science. Committed to writing testable, well-documented code and staying current with emerging technologies.","Join our team as a Mobile App Developer responsible for architecting and maintaining critical systems. Required qualifications include 4+ years of experience in Swift, Kotlin, and React Native. You will design iOS solutions, troubleshoot production issues, and collaborate with Android teams. Proficiency in REST APIs, Firebase, and mobile UI design is required. Experience with Git and App Store deployment is highly desirable. The successful candidate is detail-oriented, communicates effectively, and enjoys solving complex technical challenges. We offer a collaborative environment, continuous learning opportunities, and a strong focus on work-life balance. Bachelor's or Master's degree in a related technical field is preferred for this position.","0.32","low"
"Detail-oriented QA Automation Engineer with 4+ years of experience delivering scalable solutions. Proficient in Selenium, Java, and TestNG, with hands-on expertise in API testing and Postman. Successfully led projects involving CI/CD and JIRA, improving system performance and reliability. Strong background in Cypress, collaborating with cross-functional teams to deliver high-quality software on schedule. Skilled at writing clean, maintainable code and mentoring junior engineers. Experience with regression testing and test planning in production environments. Passionate about continuous learning, automation, and best practices in software engineering. Adept at troubleshooting complex issues and optimizing workflows. Holds a Bachelor's degree in Computer Science and has contributed to multiple successful product launches across fast-paced, agile environments.","About the role: We are seeking a Cybersecurity Analyst to join our growing engineering team. The ideal candidate has 5+ years of experience with SIEM, penetration testing, and network security. Responsibilities include designing and implementing incident response solutions, collaborating with vulnerability assessment specialists, and maintaining high standards of code quality. Required skills: firewalls, Python scripting, and compliance. Experience with risk management is a strong plus. You will work closely with cross-functional teams to deliver reliable, scalable systems in an agile environment. Strong problem-solving abilities and excellent communication skills are essential. Bachelor's degree in Computer Science or related field preferred. We offer competitive compensation, remote flexibility, and opportunities for professional growth in a collaborative, fast-paced environment.","0.32","low"
"Detail-oriented Results-driven Cloud Solutions Architect with 8 years building and maintaining robust systems. Deep expertise in AWS, Azure, GCP, Terraform, and networking. Implemented security architecture solutions that reduced deployment time and increased reliability. Comfortable working with microservices and Kubernetes in production-grade environments. Known for strong problem-solving skills and clear communication with stakeholders. Experienced in agile methodologies, code reviews, and documentation. Familiar with cost optimization and IAM, contributing to architecture decisions and technical roadmaps. Bachelor's degree in Information Technology. Track record of mentoring team members and driving process improvements. Enjoys tackling challenging technical problems and delivering measurable business impact through technology.","About the role: Join our team as a Cloud Solutions Architect responsible for architecting and maintaining critical systems. Required qualifications include 8+ years of experience in AWS, Azure, and GCP. You will design Terraform solutions, troubleshoot production issues, and collaborate with networking teams. Proficiency in security architecture, microservices, and Kubernetes is required. Experience with cost optimization and IAM is highly desirable. The successful candidate is detail-oriented, communicates effectively, and enjoys solving complex technical challenges. We offer a collaborative environment, continuous learning opportunities, and a strong focus on work-life balance. Bachelor's or Master's degree in a related technical field is preferred for this position.","0.90","high"
"Detail-oriented Mobile App Developer bringing 4+ years of hands-on experience across the full development lifecycle. Core competencies include Swift, Kotlin, and React Native, complemented by working knowledge of iOS and Android. Delivered multiple projects leveraging REST APIs and Firebase to streamline operations and boost efficiency. Comfortable in fast-paced, agile teams, participating in sprint planning and code reviews. Experience integrating mobile UI design with existing systems while maintaining high code quality. Additional exposure to Git and App Store deployment. Strong communicator who partners closely with product managers and designers. Master's degree in Computer Science. Committed to writing testable, well-documented code and staying current with emerging technologies.","Our company is hiring a Database Administrator to help scale our infrastructure and products. Candidates should have at least 6 years of relevant experience with PostgreSQL, MySQL, and Oracle. Day-to-day duties include building SQL Server pipelines, optimizing backup and recovery performance, and ensuring system reliability. Must have strong knowledge of REST APIs and Firebase, plus familiarity with mobile UI design. Bonus points for experience with Git and App Store deployment. We value engineers who can work independently, communicate clearly, and thrive in agile team settings. This role offers hybrid work options, mentorship opportunities, and exposure to cutting-edge technologies in a supportive, growth-oriented culture.","0.70","medium"
"Detail-oriented Cybersecurity Analyst with 5+ years of experience delivering scalable solutions. Proficient in SIEM, penetration testing, and network security, with hands-on expertise in incident response and vulnerability assessment. Successfully led projects involving firewalls and Python scripting, improving system performance and reliability. Strong background in compliance, collaborating with cross-functional teams to deliver high-quality software on schedule. Skilled at writing clean, maintainable code and mentoring junior engineers. Experience with risk management and threat intelligence in production environments. Passionate about continuous learning, automation, and best practices in software engineering. Adept at troubleshooting complex issues and optimizing workflows. Holds a Bachelor's degree in Computer Science and has contributed to multiple successful product launches across fast-paced, agile environments.","We are seeking a Java Backend Developer to join our growing engineering team. The ideal candidate has 5+ years of experience with Java, Spring Boot, and Hibernate. Responsibilities include designing and implementing microservices solutions, collaborating with REST APIs specialists, and maintaining high standards of code quality. Required skills: Kafka, MySQL, and JUnit. Experience with Maven is a strong plus. You will work closely with cross-functional teams to deliver reliable, scalable systems in an agile environment. Strong problem-solving abilities and excellent communication skills are essential. Bachelor's degree in Computer Science or related field preferred. We offer competitive compensation, remote flexibility, and opportunities for professional growth in a collaborative, fast-paced environment.","0.14","low"
"Detail-oriented Results-driven Database Administrator with 6 years building and maintaining robust systems. Deep expertise in PostgreSQL, MySQL, Oracle, SQL Server, and backup and recovery. Implemented performance tuning solutions that reduced deployment time and increased reliability. Comfortable working with replication and database security in production-grade environments. Known for strong problem-solving skills and clear communication with stakeholders. Experienced in agile methodologies, code reviews, and documentation. Familiar with indexing and high availability, contributing to architecture decisions and technical roadmaps. Bachelor's degree in Information Technology. Track record of mentoring team members and driving process improvements. Enjoys tackling challenging technical problems and delivering measurable business impact through technology.","About the role: Join our team as a Database Administrator responsible for architecting and maintaining critical systems. Required qualifications include 6+ years of experience in PostgreSQL, MySQL, and Oracle. You will design SQL Server solutions, troubleshoot production issues, and collaborate with backup and recovery teams. Proficiency in performance tuning, replication, and database security is required. Experience with indexing and high availability is highly desirable. The successful candidate is detail-oriented, communicates effectively, and enjoys solving complex technical challenges. We offer a collaborative environment, continuous learning opportunities, and a strong focus on work-life balance. Bachelor's or Master's degree in a related technical field is preferred for this position.","0.89","high"
"Detail-oriented Systems Administrator bringing 5+ years of hands-on experience across the full development lifecycle. Core competencies include Linux, Windows Server, and Active Directory, complemented by working knowledge of networking and shell scripting. Delivered multiple projects leveraging virtualization and VMware to streamline operations and boost efficiency. Comfortable in fast-paced, agile teams, participating in sprint planning and code reviews. Experience integrating patch management with existing systems while maintaining high code quality. Additional exposure to troubleshooting and backup solutions. Strong communicator who partners closely with product managers and designers. Master's degree in Computer Science. Committed to writing testable, well-documented code and staying current with emerging technologies.","Opportunity overview: About the role: Join our team as a Data Engineer responsible for architecting and maintaining critical systems. Required qualifications include 6+ years of experience in Python, SQL, and Apache Spark. You will design Airflow solutions, troubleshoot production issues, and collaborate with ETL pipelines teams. Proficiency in Snowflake, AWS Redshift, and Kafka is required. Experience with data warehousing and BigQuery is highly desirable. The successful candidate is detail-oriented, communicates effectively, and enjoys solving complex technical challenges. We offer a collaborative environment, continuous learning opportunities, and a strong focus on work-life balance. Bachelor's or Master's degree in a related technical field is preferred for this position.","0.10","low"
"Detail-oriented Site Reliability Engineer with 6+ years of experience delivering scalable solutions. Proficient in Kubernetes, Prometheus, and Grafana, with hands-on expertise in incident management and SLIs/SLOs. Successfully led projects involving Terraform and Python, improving system performance and reliability. Strong background in Go, collaborating with cross-functional teams to deliver high-quality software on schedule. Skilled at writing clean, maintainable code and mentoring junior engineers. Experience with on-call operations and distributed systems in production environments. Passionate about continuous learning, automation, and best practices in software engineering. Adept at troubleshooting complex issues and optimizing workflows. Holds a Bachelor's degree in Computer Science and has contributed to multiple successful product launches across fast-paced, agile environments.","About the role: Our company is hiring a Site Reliability Engineer to help scale our infrastructure and products. Candidates should have at least 6 years of relevant experience with Kubernetes, Prometheus, and Grafana. Day-to-day duties include building incident management pipelines, optimizing SLIs/SLOs performance, and ensuring system reliability. Must have strong knowledge of Terraform and Python, plus familiarity with Go. Bonus points for experience with on-call operations and distributed systems. We value engineers who can work independently, communicate clearly, and thrive in agile team settings. This role offers hybrid work options, mentorship opportunities, and exposure to cutting-edge technologies in a supportive, growth-oriented culture.","0.93","high"
"Detail-oriented Results-driven Business Intelligence Developer with 4 years building and maintaining robust systems. Deep expertise in Power BI, Tableau, SQL, data modeling, and ETL. Implemented DAX solutions that reduced deployment time and increased reliability. Comfortable working with SSRS and data visualization in production-grade environments. Known for strong problem-solving skills and clear communication with stakeholders. Experienced in agile methodologies, code reviews, and documentation. Familiar with star schema and dashboard design, contributing to architecture decisions and technical roadmaps. Bachelor's degree in Information Technology. Track record of mentoring team members and driving process improvements. Enjoys tackling challenging technical problems and delivering measurable business impact through technology.","About the role: Join our team as a Business Intelligence Developer responsible for architecting and maintaining critical systems. Required qualifications include 4+ years of experience in Power BI, Tableau, and SQL. You will design data modeling solutions, troubleshoot production issues, and collaborate with ETL teams. Proficiency in DAX, SSRS, and data visualization is required. Experience with star schema and dashboard design is highly desirable. The successful candidate is detail-oriented, communicates effectively, and enjoys solving complex technical challenges. We offer a collaborative environment, continuous learning opportunities, and a strong focus on work-life balance. Bachelor's or Master's degree in a related technical field is preferred for this position.","0.93","high"
"Detail-oriented Java Backend Developer bringing 5+ years of hands-on experience across the full development lifecycle. Core competencies include Java, Spring Boot, and Hibernate, complemented by working knowledge of microservices and REST APIs. Delivered multiple projects leveraging Kafka and MySQL to streamline operations and boost efficiency. Comfortable in fast-paced, agile teams, participating in sprint planning and code reviews. Experience integrating JUnit with existing systems while maintaining high code quality. Additional exposure to Maven and Docker. Strong communicator who partners closely with product managers and designers. Master's degree in Computer Science. Committed to writing testable, well-documented code and staying current with emerging technologies.","About the role: We are seeking a Java Backend Developer to join our growing engineering team. The ideal candidate has 5+ years of experience with Java, Spring Boot, and Hibernate. Responsibilities include designing and implementing microservices solutions, collaborating with REST APIs specialists, and maintaining high standards of code quality. Required skills: Kafka, MySQL, and JUnit. Experience with Maven is a strong plus. You will work closely with cross-functional teams to deliver reliable, scalable systems in an agile environment. Strong problem-solving abilities and excellent communication skills are essential. Bachelor's degree in Computer Science or related field preferred. We offer competitive compensation, remote flexibility, and opportunities for professional growth in a collaborative, fast-paced environment.","0.97","high"
"Innovative Backend Software Engineer with 5+ years of experience delivering scalable solutions. Proficient in Python, Django, and REST APIs, with hands-on expertise in PostgreSQL and Docker. Successfully led projects involving AWS and Kubernetes, improving system performance and reliability. Strong background in microservices, collaborating with cross-functional teams to deliver high-quality software on schedule. Skilled at writing clean, maintainable code and mentoring junior engineers. Experience with CI/CD and unit testing in production environments. Passionate about continuous learning, automation, and best practices in software engineering. Adept at troubleshooting complex issues and optimizing workflows. Holds a Bachelor's degree in Computer Science and has contributed to multiple successful product launches across fast-paced, agile environments.","Our company is hiring a Backend Software Engineer to help scale our infrastructure and products. Candidates should have at least 5 years of relevant experience with Python, Django, and REST APIs. Day-to-day duties include building PostgreSQL pipelines, optimizing Docker performance, and ensuring system reliability. Must have strong knowledge of AWS and Kubernetes, plus familiarity with microservices. Bonus points for experience with CI/CD and unit testing. We value engineers who can work independently, communicate clearly, and thrive in agile team settings. This role offers hybrid work options, mentorship opportunities, and exposure to cutting-edge technologies in a supportive, growth-oriented culture.","0.93","high"
"Innovative Results-driven Frontend Developer with 4 years building and maintaining robust systems. Deep expertise in React, JavaScript, TypeScript, HTML5, and CSS3. Implemented Redux solutions that reduced deployment time and increased reliability. Comfortable working with Webpack and Jest in production-grade environments. Known for strong problem-solving skills and clear communication with stakeholders. Experienced in agile methodologies, code reviews, and documentation. Familiar with responsive design and REST integration, contributing to architecture decisions and technical roadmaps. Bachelor's degree in Information Technology. Track record of mentoring team members and driving process improvements. Enjoys tackling challenging technical problems and delivering measurable business impact through technology.","We are seeking a Backend Software Engineer to join our growing engineering team. The ideal candidate has 5+ years of experience with Python, Django, and REST APIs. Responsibilities include designing and implementing PostgreSQL solutions, collaborating with Docker specialists, and maintaining high standards of code quality. Required skills: Redux, Webpack, and Jest. Experience with responsive design is a strong plus. You will work closely with cross-functional teams to deliver reliable, scalable systems in an agile environment. Strong problem-solving abilities and excellent communication skills are essential. Bachelor's degree in Computer Science or related field preferred. We offer competitive compensation, remote flexibility, and opportunities for professional growth in a collaborative, fast-paced environment.","0.73","medium"
"Innovative Data Engineer bringing 6+ years of hands-on experience across the full development lifecycle. Core competencies include Python, SQL, and Apache Spark, complemented by working knowledge of Airflow and ETL pipelines. Delivered multiple projects leveraging Snowflake and AWS Redshift to streamline operations and boost efficiency. Comfortable in fast-paced, agile teams, participating in sprint planning and code reviews. Experience integrating Kafka with existing systems while maintaining high code quality. Additional exposure to data warehousing and BigQuery. Strong communicator who partners closely with product managers and designers. Master's degree in Computer Science. Committed to writing testable, well-documented code and staying current with emerging technologies.","We are seeking a Data Engineer to join our growing engineering team. The ideal candidate has 6+ years of experience with Python, SQL, and Apache Spark. Responsibilities include designing and implementing Airflow solutions, collaborating with ETL pipelines specialists, and maintaining high standards of code quality. Required skills: Snowflake, AWS Redshift, and Kafka. Experience with data warehousing is a strong plus. You will work closely with cross-functional teams to deliver reliable, scalable systems in an agile environment. Strong problem-solving abilities and excellent communication skills are essential. Bachelor's degree in Computer Science or related field preferred. We offer competitive compensation, remote flexibility, and opportunities for professional growth in a collaborative, fast-paced environment.","0.95","high"
"Innovative DevOps Engineer with 5+ years of experience delivering scalable solutions. Proficient in Terraform, Kubernetes, and Docker, with hands-on expertise in Jenkins and AWS. Successfully led projects involving CI/CD and Ansible, improving system performance and reliability. Strong background in monitoring, collaborating with cross-functional teams to deliver high-quality software on schedule. Skilled at writing clean, maintainable code and mentoring junior engineers. Experience with Linux administration and GitOps in production environments. Passionate about continuous learning, automation, and best practices in software engineering. Adept at troubleshooting complex issues and optimizing workflows. Holds a Bachelor's degree in Computer Science and has contributed to multiple successful product launches across fast-paced, agile environments.","About the role: Our company is hiring a DevOps Engineer to help scale our infrastructure and products. Candidates should have at least 5 years of relevant experience with Terraform, Kubernetes, and Docker. Day-to-day duties include building Jenkins pipelines, optimizing AWS performance, and ensuring system reliability. Must have strong knowledge of CI/CD and Ansible, plus familiarity with monitoring. Bonus points for experience with Linux administration and GitOps. We value engineers who can work independently, communicate clearly, and thrive in agile team settings. This role offers hybrid work options, mentorship opportunities, and exposure to cutting-edge technologies in a supportive, growth-oriented culture.","0.86","high"
"Innovative Results-driven Full Stack Developer with 4 years building and maintaining robust systems. Deep expertise in Node.js, React, MongoDB, Express, and JavaScript. Implemented TypeScript solutions that reduced deployment time and increased reliability. Comfortable working with REST APIs and GraphQL in production-grade environments. Known for strong problem-solving skills and clear communication with stakeholders. Experienced in agile methodologies, code reviews, and documentation. Familiar with AWS and Git, contributing to architecture decisions and technical roadmaps. Bachelor's degree in Information Technology. Track record of mentoring team members and driving process improvements. Enjoys tackling challenging technical problems and delivering measurable business impact through technology.","Our company is hiring a Systems Administrator to help scale our infrastructure and products. Candidates should have at least 5 years of relevant experience with Linux, Windows Server, and Active Directory. Day-to-day duties include building networking pipelines, optimizing shell scripting performance, and ensuring system reliability. Must have strong knowledge of virtualization and VMware, plus familiarity with patch management. Bonus points for experience with troubleshooting and backup solutions. We value engineers who can work independently, communicate clearly, and thrive in agile team settings. This role offers hybrid work options, mentorship opportunities, and exposure to cutting-edge technologies in a supportive, growth-oriented culture.","0.29","low"
"Highly motivated Software Engineer with 7 years of professional experience specialising in Agile, REST APIs, Linux, SQL, Docker and Microservices, CI/CD, Git, Java, Python. Holds a B.Tech in Computer Science from IIT Delhi. Previously contributed at Mphasis for 5 years and ThoughtWorks for 2 years, delivering production-grade systems in collaborative agile environments. Certifications: Oracle Database 19c Certified Professional, AWS Certified Solutions Architect – Associate. Mentored a team of 6 junior engineers, improving sprint velocity by 25%. Reduced mean time to recovery (MTTR) from 4 hours to 22 minutes using automated runbooks. Committed to continuous learning and staying current with industry trends. Proven track record in code reviews, sprint planning, and stakeholder communication.","We are looking for a talented Software Engineer to strengthen our engineering organisation. You will bring 6+ years working with Python, Docker, SQL, CI/CD, Agile, Linux, Java, Microservices. Key responsibilities include system design, code reviews, CI/CD pipeline maintenance, and close collaboration with product managers and designers. You will participate in architectural decisions, write comprehensive unit and integration tests, and champion engineering best practices across the team. Experience with cloud platforms (AWS/GCP/Azure) is strongly preferred. Strong analytical and communication skills are essential. A Bachelor's or Master's degree in Computer Science or a related technical discipline is preferred.","0.61","medium"
"Results-driven Frontend Developer with 12 years of professional experience specialising in React, TypeScript, Redux, JavaScript, Webpack and Node.js, GraphQL, Figma, CSS, HTML5. Holds a M.S. in Computer Science from UT Austin. Previously contributed at Freshworks for 10 years and MakeMyTrip for 2 years, delivering production-grade systems in collaborative agile environments. Certifications: Red Hat Certified Engineer (RHCE), Microsoft Azure Administrator (AZ-104). Built real-time fraud detection model achieving 94% precision. Architected multi-cloud disaster recovery solution achieving RPO of 15 minutes. Adept at translating complex requirements into elegant, maintainable solutions. Proven track record in code reviews, sprint planning, and stakeholder communication.","Join our dynamic product team as a Frontend Developer. The successful candidate will have 12+ years of experience with TypeScript, React, GraphQL, Figma, CSS, Webpack, JavaScript, Redux. Key responsibilities include system design, code reviews, CI/CD pipeline maintenance, and close collaboration with product managers and designers. You will participate in architectural decisions, write comprehensive unit and integration tests, and champion engineering best practices across the team. Strong command of data structures, algorithms, and system design is required. Strong analytical and communication skills are essential. A Bachelor's or Master's degree in Computer Science or a related technical discipline is preferred.","0.69","medium"
"Detail-oriented Backend Developer with 5 years of professional experience specialising in JUnit, REST, Docker, PostgreSQL, Java and Gradle, Spring Boot, Hibernate, Kafka, Kubernetes. Holds a B.E. in Information Technology from VTU Bangalore. Previously contributed at Flipkart for 3 years and Capgemini for 2 years, delivering production-grade systems in collaborative agile environments. Certifications: Databricks Certified Associate Developer for Apache Spark. Built real-time fraud detection model achieving 94% precision. Developed Spark ETL pipeline processing 10TB of event data daily with 99.9% uptime. Known for a collaborative mindset and strong ownership across the full delivery lifecycle. Proven track record in code reviews, sprint planning, and stakeholder communication.","An exciting opportunity exists for a seasoned Backend Developer to join a high-growth company. We require 5+ years of expertise across JUnit, REST, PostgreSQL, Hibernate, Kubernetes, Gradle, Kafka, Java. Key responsibilities include system design, code reviews, CI/CD pipeline maintenance, and close collaboration with product managers and designers. You will participate in architectural decisions, write comprehensive unit and integration tests, and champion engineering best practices across the team. Prior experience leading small cross-functional engineering squads is desirable. Strong analytical and communication skills are essential. A Bachelor's or Master's degree in Computer Science or a related technical discipline is preferred.","0.87","high"
"Experienced DevOps Engineer with 7 years of professional experience specialising in Docker, Jenkins, Kubernetes, Ansible, AWS and Linux, Prometheus, Terraform, Bash, CI/CD. Holds a M.Tech in Software Engineering from NIT Trichy. Previously contributed at Flipkart for 5 years and Zomato for 2 years, delivering production-grade systems in collaborative agile environments. Certifications: Certified Kubernetes Administrator (CKA). Led migration of monolithic application to microservices, cutting API latency by 35%. Consolidated five legacy Oracle databases into a unified PostgreSQL cluster. Reduced cloud infrastructure costs by 28% through reserved instances and right-sizing. Driven by impact and consistently praised for technical depth and reliability. Proven track record in code reviews, sprint planning, and stakeholder communication.","We are hiring a Data Engineer to help scale our platform. Candidates must demonstrate 6+ years of hands-on experience with Spark, SQL, Delta Lake, Python, ETL, AWS Glue, Redshift, Airflow. Key responsibilities include system design, code reviews, CI/CD pipeline maintenance, and close collaboration with product managers and designers. You will participate in architectural decisions, write comprehensive unit and integration tests, and champion engineering best practices across the team. Background in event-driven architecture and message brokers is highly valued. Strong analytical and communication skills are essential. A Bachelor's or Master's degree in Computer Science or a related technical discipline is preferred.","0.66","medium"
"Passionate Data Engineer with 4 years of professional experience specialising in Redshift, Hadoop, AWS Glue, Python, Delta Lake and Kafka, Airflow, SQL, Spark, ETL. Holds a B.S. in Computer Engineering from Purdue University. Previously contributed at Zomato for 2 years and Amazon Development Centre for 2 years, delivering production-grade systems in collaborative agile environments. Certifications: Oracle Database 19c Certified Professional, Certified Kubernetes Administrator (CKA). Reduced cloud infrastructure costs by 28% through reserved instances and right-sizing. Automated regression suite covering 85% code coverage, reducing QA cycle by 50%. Developed Spark ETL pipeline processing 10TB of event data daily with 99.9% uptime. Experienced in both greenfield projects and modernizing legacy systems. Proven track record in code reviews, sprint planning, and stakeholder communication.","We are looking for a talented Data Scientist to strengthen our engineering organisation. You will bring 3+ years working with R, NLP, Jupyter, Statsmodels, Python, Pandas, SQL, Scikit-learn. Key responsibilities include system design, code reviews, CI/CD pipeline maintenance, and close collaboration with product managers and designers. You will participate in architectural decisions, write comprehensive unit and integration tests, and champion engineering best practices across the team. Excellent technical documentation and communication skills are expected. Strong analytical and communication skills are essential. A Bachelor's or Master's degree in Computer Science or a related technical discipline is preferred.","0.72","medium"
"Innovative Data Scientist with 9 years of professional experience specialising in Machine Learning, SQL, R, Scikit-learn, Python and Statsmodels, NLP, Jupyter, Pandas, TensorFlow. Holds a M.S. in Data Science from Columbia University. Previously contributed at Tech Mahindra for 7 years and Deloitte for 2 years, delivering production-grade systems in collaborative agile environments. Certifications: AWS Certified Solutions Architect – Associate, Red Hat Certified Engineer (RHCE). Reduced deployment time by 40% through CI/CD automation. Implemented end-to-end AES-256 encryption for a PCI-DSS compliant payment system. Automated regression suite covering 85% code coverage, reducing QA cycle by 50%. Comfortable in ambiguous environments and able to deliver under tight deadlines. Proven track record in code reviews, sprint planning, and stakeholder communication.","Join our dynamic product team as a Data Scientist. The successful candidate will have 9+ years of experience with R, Machine Learning, Pandas, NLP, Scikit-learn, Python, TensorFlow, Statsmodels. Key responsibilities include system design, code reviews, CI/CD pipeline maintenance, and close collaboration with product managers and designers. You will participate in architectural decisions, write comprehensive unit and integration tests, and champion engineering best practices across the team. Hands-on experience with observability tooling (Prometheus, Grafana, Datadog) preferred. Strong analytical and communication skills are essential. A Bachelor's or Master's degree in Computer Science or a related technical discipline is preferred.","0.66","medium"
"Dedicated Machine Learning Engineer with 4 years of professional experience specialising in Ray, Feature Engineering, CI/CD, MLflow, TensorFlow and ONNX, PyTorch, Kubernetes, Triton, Python. Holds a B.Tech in ECE from IIT Bombay. Previously contributed at Zomato for 2 years and LTIMindtree for 2 years, delivering production-grade systems in collaborative agile environments. Certifications: Oracle Database 19c Certified Professional, Snowflake SnowPro Core Certification. Automated regression suite covering 85% code coverage, reducing QA cycle by 50%. Mentored a team of 6 junior engineers, improving sprint velocity by 25%. Recognised for bridging the gap between business stakeholders and engineering teams. Proven track record in code reviews, sprint planning, and stakeholder communication.","An exciting opportunity exists for a seasoned Machine Learning Engineer to join a high-growth company. We require 3+ years of expertise across CI/CD, Python, Feature Engineering, ONNX, PyTorch, Ray, TensorFlow, Kubernetes. Key responsibilities include system design, code reviews, CI/CD pipeline maintenance, and close collaboration with product managers and designers. You will participate in architectural decisions, write comprehensive unit and integration tests, and champion engineering best practices across the team. Demonstrated ability to own features end-to-end from design to production. Strong analytical and communication skills are essential. A Bachelor's or Master's degree in Computer Science or a related technical discipline is preferred.","0.77","medium"
